id_pedido,data_venda,id_cliente,cliente,segmento,regiao,uf,id_produto,produto,categoria,canal_venda,vendedor,forma_pagamento,quantidade,preco_unitario,desconto_pct,receita_bruta,valor_desconto,receita_liquida,custo_total,lucro,status_pedido,prazo_entrega_dias,avaliacao_cliente
V00019,2026-04-25,C007,Loja Avenida,B2C,Centro-Oeste,GO,P007,Mesa Office,Móveis,Representante,Fernanda Rocha,Cartão Crédito,5,849.7,0.0,4248.5,0.0,4248.5,2175.65,2072.85,Concluída,3,3.0
V00020,2025-10-01,C002,Beta Varejo,B2B,Sudeste,,P009,Smartphone X,Telefonia,Representante,Ana Souza,Boleto,2,3100.83,0.0,6201.66,0.0,6201.66,4013.0,2188.66,Concluída,4,
V00021,2026-04-10,C007,Loja Avenida,B2C,Centro-Oeste,GO,P003,Teclado Mecânico,Acessórios,Loja Física,Carla Mendes,Pix,10,305.73,0.03,3057.3,91.72,2965.58,1412.5,1553.08,Concluída,2,5.0
V00022,2025-11-02,C009,Shopping Mix,B2C,Nordeste,PE,P002,Mouse Wireless,Acessórios,E-commerce,Bruno Lima,Boleto,3,86.58,0.0,259.74,0.0,259.74,123.51,136.23,Concluída,3,4.0
V00023,2026-06-28,C003,Casa Norte,B2C,Norte,AM,P009,Smartphone X,Telefonia,Loja Física,Fernanda Rocha,Boleto,10,2669.11,0.05,26691.1,1334.56,25356.54,20930.4,4426.14,Concluída,7,4.0
V00024,2025-04-25,C008,Prime Atacado,B2B,Sul,RS,P001,Notebook Pro 14,Informática,Representante,Carla Mendes,Pix,3,4365.38,0.03,13096.14,392.88,12703.26,8566.71,4136.55,Cancelada,4,3.0
V00025,2025-03-22,C001,Alfa Distribuidora,B2B,Sudeste,SP,P004,Monitor 24,Informática,Loja Física,Diego Alves,Cartão Crédito,1,916.7,0.05,916.7,45.84,870.86,563.02,307.84,Concluída,3,5.0
V00026,2025-05-12,C009,Shopping Mix,B2C,Nordeste,PE,P003,Teclado Mecânico,Acessórios,Marketplace,Fernanda Rocha,Pix,1,336.64,0.0,336.64,0.0,336.64,157.85,178.79,Concluída,4,3.0
V00027,2026-03-10,C005,E-commerce Livre,B2C,Sudeste,RJ,P009,Smartphone X,Telefonia,E-commerce,Fernanda Rocha,Pix,8,3060.44,0.0,24483.52,0.0,24483.52,16454.56,8028.96,Cancelada,5,4.0
V00028,2026-01-18,C005,E-commerce Livre,B2C,Sudeste,RJ,P007,Mesa Office,Móveis,Marketplace,Fernanda Rocha,Transferência,2,717.98,0.1,1435.96,143.6,1292.36,930.58,361.78,Concluída,4,4.0
V00029,2025-08-19,C002,Beta Varejo,B2B,Sudeste,MG,P004,Monitor 24,Informática,Loja Física,Carla Mendes,Cartão Crédito,4,976.65,0.1,3906.6,390.66,3515.94,2587.32,928.62,Concluída,2,3.0
V00030,2025-08-24,C010,Tech Mais,B2C,Sudeste,SP,P009,Smartphone X,Telefonia,E-commerce,Ana Souza,Cartão Crédito,6,2893.56,0.0,17361.36,0.0,17361.36,11146.56,6214.8,Concluída,2,3.0
V00031,2025-03-11,C001,Alfa Distribuidora,B2B,Sudeste,SP,P004,Monitor 24,Informática,Loja Física,Carla Mendes,Cartão Crédito,3,936.47,0.05,2809.41,140.47,2668.94,1757.46,911.48,Concluída,3,4.0
V00032,2025-10-13,C009,Shopping Mix,B2C,Nordeste,PE,P004,Monitor 24,Informática,Marketplace,Bruno Lima,Pix,4,928.2,0.08,3712.8,297.02,3415.78,2533.64,882.14,Concluída,2,4.0
V00033,2026-04-30,C010,Tech Mais,B2C,Sudeste,SP,P010,Carregador USB-C,Telefonia,E-commerce,,Transferência,2,104.9,0.15,209.8,31.47,178.33,83.22,95.11,Devolvida,5,5.0
V00034,2025-04-10,C004,Delta Store,B2B,Sul,PR,P002,Mouse Wireless,Acessórios,Marketplace,Carla Mendes,Transferência,3,97.56,0.03,292.68,8.78,283.9,108.9,175.0,Concluída,3,1.0
V00035,2025-02-25,C007,Loja Avenida,B2C,Centro-Oeste,GO,P008,Webcam Full HD,Acessórios,Loja Física,Ana Souza,Transferência,4,197.18,0.1,788.72,78.87,709.85,393.0,316.85,Devolvida,4,1.0
V00036,2025-09-12,C006,Mercado Central,B2B,Nordeste,BA,P002,Mouse Wireless,informatica,E-commerce,Bruno Lima,Transferência,8,94.45,,755.6,113.34,642.26,332.4,309.86,Cancelada,3,4.0
V00037,2025-07-07,C003,Casa Norte,B2C,Norte,AM,P007,Mesa Office,Móveis,Representante,Diego Alves,Pix,6,756.38,0.0,4538.28,0.0,4538.28,2632.2,1906.08,Pendente,5,5.0
V00038,2025-04-11,C002,Beta Varejo,B2B,Sudeste,MG,P008,Webcam Full HD,Acessórios,Loja Física,Fernanda Rocha,Cartão Crédito,1,217.41,0.15,217.41,32.61,184.8,85.07,99.73,Concluída,7,5.0
V00039,2025-06-20,C002,Beta Varejo,B2B,Sudeste,MG,P004,Monitor 24,Informática,Marketplace,Diego Alves,Transferência,4,938.55,0.0,3754.2,0.0,3754.2,2373.76,1380.44,Cancelada,7,5.0
V00040,2025-03-02,C004,Delta Store,B2B,Sul,PR,P007,Mesa Office,Móveis,E-commerce,Diego Alves,Cartão Crédito,8,789.75,0.03,6318.0,189.54,6128.46,3659.12,2469.34,Concluída,5,5.0
V00041,2026-04-11,C007,Loja Avenida,B2C,Centro-Oeste,GO,P005,Headset Gamer,Acessórios,Representante,Diego Alves,Transferência,6,233.85,0.0,1403.1,0.0,1403.1,590.28,812.82,Concluída,2,4.0
V00042,2025-10-31,C003,Casa Norte,B2C,Norte,AM,P004,Monitor 24,Informática,E-commerce,Ana Souza,Cartão Crédito,3,857.1,0.03,2571.3,77.14,2494.16,1693.65,800.51,Concluída,7,4.0
V00043,2025-02-21,C006,Mercado Central,B2B,Nordeste,BA,P001,Notebook Pro 14,Informática,Marketplace,Fernanda Rocha,Pix,1,4262.55,0.08,4262.55,341.0,3921.55,2924.49,997.06,Concluída,2,2.0
V00044,2025-03-24,C001,Alfa Distribuidora,B2B,Sudeste,SP,P009,Smartphone X,Telefonia,E-commerce,Ana Souza,Cartão Crédito,3,2853.03,0.05,8559.09,427.95,8131.14,6241.14,1890.0,Pendente,4,4.0
V00045,2025-05-03,C004,Delta Store,B2B,Sul,PR,P007,Mesa Office,Móveis,E-commerce,Fernanda Rocha,Cartão Crédito,5,748.47,0.0,3742.35,0.0,3742.35,2008.35,1734.0,Concluída,15,5.0
V00046,2026-03-06,C010,Tech Mais,B2C,Sudeste,SP,P002,Mouse Wireless,Acessórios,Representante,Carla Mendes,Pix,4,94.05,0.0,376.2,0.0,376.2,144.12,232.08,Concluída,5,5.0
V00047,2025-09-29,C006,Mercado Central,B2B,Nordeste,BA,P004,Monitor 24,Informática,Marketplace,Bruno Lima,Boleto,4,855.81,0.1,3423.24,342.32,3080.92,2568.88,512.04,Concluída,5,4.0
V00048,2025-03-16,C008,Prime Atacado,B2B,Sul,RS,P006,Cadeira Ergonômica,Móveis,Loja Física,Diego Alves,Cartão Crédito,2,1320.72,0.05,2641.44,132.07,2509.37,1605.3,904.07,Concluída,2,2.0
V00049,2025-08-07,C002,Beta Varejo,B2B,Sudeste,MG,P009,Smartphone X,Telefonia,Representante,Bruno Lima,Boleto,6,2953.45,0.03,17720.7,531.62,17189.08,11138.82,6050.26,Concluída,4,3.0
V00050,2026-01-14,C002,Beta Varejo,B2B,Sudeste,MG,P004,Monitor 24,Informática,Representante,Bruno Lima,Transferência,2,879.03,0.05,1758.06,87.9,1670.16,1261.86,408.3,Concluída,4,5.0
V00051,2026-06-26,C009,Shopping Mix,B2C,Nordeste,PE,P005,Headset Gamer,Acessórios,Loja Física,Fernanda Rocha,Boleto,3,261.22,0.05,783.66,39.18,744.48,299.04,445.44,Concluída,5,1.0
V00052,2025-09-28,C002,Beta Varejo,B2B,Sudeste,MG,P003,Teclado Mecânico,Acessórios,Loja Física,Ana Souza,Pix,3,354.19,0.03,1062.57,31.88,1030.69,430.59,600.1,Concluída,4,4.0
V00053,2025-08-04,C005,E-commerce Livre,B2C,Sudeste,RJ,P005,Headset Gamer,Acessórios,Representante,Bruno Lima,Boleto,8,236.39,0.15,1891.12,283.67,1607.45,909.68,697.77,Concluída,2,3.0
V00054,2025-09-15,C009,Shopping Mix,B2C,Nordeste,PE,P008,Webcam Full HD,Acessórios,Loja Física,Ana Souza,Transferência,1,193.36,0.05,193.36,9.67,183.69,83.95,99.74,Concluída,7,1.0
V00055,2025-01-04,C005,E-commerce Livre,B2C,Sudeste,,P001,Notebook Pro 14,Informática,Representante,Bruno Lima,Boleto,5,4040.43,0.0,20202.15,0.0,20202.15,15942.55,4259.6,Concluída,7,5.0
V00056,2026-03-14,C003,Casa Norte,B2C,Norte,AM,P008,Webcam Full HD,Acessórios,Loja Física,Ana Souza,Cartão Crédito,5,202.03,0.0,1010.15,0.0,1010.15,474.8,535.35,Cancelada,15,4.0
V00057,2025-02-06,C003,Casa Norte,B2C,Norte,AM,P009,Smartphone X,informatica,Representante,Fernanda Rocha,Pix,2,2998.27,0.0,5996.54,0.0,5996.54,4306.64,1689.9,Cancelada,4,5.0
V00058,2025-02-12,C007,Loja Avenida,B2C,Centro-Oeste,GO,P003,Teclado Mecânico,Acessórios,Representante,Carla Mendes,Cartão Crédito,4,295.26,0.1,1181.04,118.1,1062.94,586.36,476.58,Cancelada,4,5.0
V00059,2025-09-13,C006,Mercado Central,B2B,Nordeste,BA,P004,Monitor 24,Informática,Loja Física,Carla Mendes,Transferência,2,803.12,0.1,1606.24,160.62,1445.62,1142.44,303.18,Concluída,10,
V00060,2025-08-31,C010,Tech Mais,B2C,Sudeste,SP,P003,Teclado Mecânico,Acessórios,E-commerce,Bruno Lima,Transferência,3,332.48,0.0,997.44,0.0,997.44,423.15,574.29,Concluída,5,5.0
V00061,2025-12-07,C001,Alfa Distribuidora,B2B,Sudeste,SP,P003,Teclado Mecânico,Acessórios,Marketplace,,Boleto,5,343.59,0.0,1717.95,0.0,1717.95,731.5,986.45,Concluída,5,4.0
V00062,2026-01-27,C003,Casa Norte,B2C,Norte,AM,P002,Mouse Wireless,Acessórios,Loja Física,Diego Alves,Pix,6,92.83,0.0,556.98,0.0,556.98,215.64,341.34,Concluida,5,3.0
V00063,2025-12-25,C004,Delta Store,B2B,Sul,PR,P008,Webcam Full HD,Acessórios,Representante,,Pix,1,221.38,0.0,221.38,0.0,221.38,96.11,125.27,Concluída,2,2.0
V00064,2026-02-13,C001,Alfa Distribuidora,B2B,Sudeste,SP,P004,Monitor 24,Informática,Representante,Carla Mendes,Cartão Crédito,10,874.28,0.0,8742.8,0.0,8742.8,6504.5,2238.3,Pendente,15,5.0
V00065,2026-06-06,C005,E-commerce Livre,B2C,Sudeste,RJ,P006,Cadeira Ergonômica,Móveis,Marketplace,Fernanda Rocha,Boleto,2,1239.8,0.08,2479.6,198.37,2281.23,1775.7,505.53,Concluída,10,3.0
V00066,2025-09-25,C001,Alfa Distribuidora,B2B,Sudeste,SP,P002,Mouse Wireless,Acessórios,E-commerce,Fernanda Rocha,Boleto,3,85.74,0.03,257.22,7.72,249.5,106.05,143.45,Concluída,2,5.0
V00067,2026-03-21,C001,Alfa Distribuidora,B2B,Sudeste,SP,P002,Mouse Wireless,Acessórios,Representante,Carla Mendes,Transferência,4,97.69,0.15,390.76,58.61,332.15,150.08,182.07,Concluída,7,3.0
V00068,2025-04-29,C010,Tech Mais,B2C,Sudeste,SP,P009,Smartphone X,Telefonia,Marketplace,Fernanda Rocha,Pix,10,2527.49,0.15,25274.9,3791.24,21483.66,18369.8,3113.86,Devolvida,5,
V00069,2026-03-23,C005,E-commerce Livre,B2C,Sudeste,RJ,P001,Notebook Pro 14,Informática,Loja Física,Fernanda Rocha,Pix,1,4291.76,0.15,4291.76,643.76,3648.0,3093.18,554.82,Concluída,5,4.0
V00070,2025-03-13,C006,Mercado Central,B2B,Nordeste,BA,P007,Mesa Office,Móveis,Representante,Fernanda Rocha,Boleto,3,802.27,0.1,2406.81,240.68,2166.13,1197.36,968.77,Concluída,10,5.0
V00071,2026-06-04,C002,Beta Varejo,B2B,Sudeste,MG,P005,Headset Gamer,Acessórios,Representante,Diego Alves,Boleto,2,248.74,0.0,497.48,0.0,497.48,200.32,297.16,Concluída,4,5.0
V00072,2025-05-11,C007,Loja Avenida,B2C,Centro-Oeste,GO,P005,Headset Gamer,Acessórios,E-commerce,Diego Alves,Transferência,1,267.45,0.15,267.45,40.12,227.33,109.8,117.53,Concluída,4,5.0
V00073,2025-11-05,C003,Casa Norte,B2C,Norte,AM,P010,Carregador USB-C,Telefonia,Marketplace,Fernanda Rocha,Cartão Crédito,4,102.94,0.1,411.76,41.18,370.58,179.44,191.14,Pendente,7,5.0
V00074,2025-08-04,C005,E-commerce Livre,B2C,Sudeste,RJ,P005,Headset Gamer,Acessórios,Marketplace,Fernanda Rocha,Boleto,2,265.25,0.08,530.5,42.44,488.06,194.9,293.16,Concluída,4,5.0
V00075,2026-03-29,C008,Prime Atacado,B2B,Sul,RS,P008,Webcam Full HD,Acessórios,E-commerce,Fernanda Rocha,Transferência,10,195.95,0.03,1959.5,58.78,1900.72,889.7,1011.02,Pendente,7,5.0
V00076,2025-10-18,C003,Casa Norte,B2C,Norte,AM,P002,Mouse Wireless,Acessórios,Representante,Ana Souza,Pix,3,94.17,0.0,282.51,0.0,282.51,106.05,176.46,Devolvida,7,
V00077,2025-07-23,C005,E-commerce Livre,B2C,Sudeste,RJ,P004,Monitor 24,Informática,E-commerce,Ana Souza,Cartão Crédito,10,909.75,0.08,9097.5,727.8,8369.7,6649.4,1720.3,Cancelada,3,4.0
V00078,2025-03-16,C004,Delta Store,B2B,Sul,PR,P008,Webcam Full HD,Acessórios,Marketplace,Diego Alves,Pix,1,233.08,0.05,233.08,11.65,221.43,86.5,134.93,Concluída,5,4.0
V00079,2026-02-14,C007,Loja Avenida,B2C,Centro-Oeste,GO,P008,Webcam Full HD,Acessórios,E-commerce,Bruno Lima,Cartão Crédito,1,220.03,0.03,220.03,6.6,213.43,95.31,118.12,Concluída,7,5.0
V00080,2025-08-13,C002,Beta Varejo,B2B,Sudeste,MG,P007,Mesa Office,Móveis,E-commerce,Fernanda Rocha,Transferência,3,852.43,0.0,2557.29,0.0,2557.29,1217.91,1339.38,Concluída,7,5.0
V00081,2025-09-13,C001,Alfa Distribuidora,B2B,Sudeste,SP,P009,Smartphone X,Telefonia,Loja Física,Diego Alves,Pix,4,2651.19,0.0,10604.76,0.0,10604.76,7307.12,3297.64,Concluída,5,4.0
V00082,2025-11-21,C008,Prime Atacado,B2B,Sul,RS,P009,Smartphone X,Telefonia,Marketplace,Fernanda Rocha,Transferência,2,3076.96,0.0,6153.92,0.0,6153.92,4009.58,2144.34,Cancelada,4,5.0
V00083,2025-06-12,C009,Shopping Mix,B2C,Nordeste,PE,P008,Webcam Full HD,Acessórios,Marketplace,Diego Alves,Boleto,6,232.87,0.0,1397.22,0.0,1397.22,586.86,810.36,Concluída,3,4.0
V00084,2026-06-18,C004,Delta Store,B2B,Sul,,P005,Headset Gamer,Acessórios,Marketplace,Bruno Lima,Boleto,10,242.01,0.0,2420.1,0.0,2420.1,1085.7,1334.4,Concluída,2,3.0
V00085,2025-10-20,C008,Prime Atacado,B2B,Sul,RS,P002,Mouse Wireless,Acessórios,E-commerce,Carla Mendes,Boleto,1,88.67,0.0,88.67,0.0,88.67,39.34,49.33,Concluída,4,5.0
V00086,2025-03-24,C006,Mercado Central,B2B,Nordeste,BA,P009,Smartphone X,Telefonia,E-commerce,Bruno Lima,Pix,3,2931.22,0.0,8793.66,0.0,8793.66,5670.39,3123.27,Concluída,3,4.0
V00087,2025-08-08,C007,Loja Avenida,B2C,Centro-Oeste,GO,P003,Teclado Mecânico,Acessórios,Loja Física,Diego Alves,Transferência,1,294.24,0.0,294.24,0.0,294.24,145.43,148.81,Concluída,4,4.0
V00088,2026-04-23,C006,Mercado Central,B2B,Nordeste,BA,P009,Smartphone X,Telefonia,Marketplace,Ana Souza,Pix,4,2544.22,0.08,10176.88,814.15,9362.73,8181.52,1181.21,Concluída,7,
V00089,2025-01-21,C007,Loja Avenida,B2C,Centro-Oeste,GO,P007,Mesa Office,Móveis,Marketplace,Diego Alves,Cartão Crédito,1,749.51,0.08,749.51,59.96,689.55,453.52,236.03,Concluída,3,4.0
V00090,2026-02-04,C006,Mercado Central,B2B,Nordeste,BA,P005,Headset Gamer,Acessórios,Marketplace,Fernanda Rocha,Pix,3,248.64,0.0,745.92,0.0,745.92,316.02,429.9,Concluida,2,4.0
V00091,2025-10-07,C008,Prime Atacado,B2B,Sul,RS,P004,Monitor 24,Informática,Marketplace,Diego Alves,Cartão Crédito,4,976.28,0.03,3905.12,117.15,3787.97,2478.52,1309.45,Concluída,4,4.0
V00092,2026-02-19,C007,Loja Avenida,B2C,Centro-Oeste,GO,P006,Cadeira Ergonômica,Móveis,E-commerce,Diego Alves,Pix,2,1294.97,0.0,2589.94,0.0,2589.94,1607.08,982.86,Concluída,3,4.0
V00093,2025-01-28,C010,Tech Mais,B2C,Sudeste,SP,P009,Smartphone X,Telefonia,Marketplace,Fernanda Rocha,Cartão Crédito,1,3068.56,0.03,3068.56,92.06,2976.5,2063.63,912.87,Cancelada,4,2.0
V00094,2025-05-19,C002,Beta Varejo,B2B,Sudeste,MG,P007,Mesa Office,Móveis,Marketplace,Bruno Lima,Cartão Crédito,3,802.7,0.05,2408.1,120.4,2287.7,1287.03,1000.67,Concluída,3,4.0
V00095,2025-12-02,C005,E-commerce Livre,B2C,Sudeste,RJ,P007,Mesa Office,Móveis,E-commerce,Diego Alves,Boleto,4,799.95,0.0,3199.8,0.0,3199.8,1887.84,1311.96,Concluída,3,3.0
V00096,2025-10-12,C006,Mercado Central,B2B,Nordeste,BA,P007,Mesa Office,Móveis,Marketplace,Carla Mendes,Cartão Crédito,1,744.21,0.0,744.21,0.0,744.21,410.04,334.17,Concluída,3,5.0
V00097,2025-02-23,C008,Prime Atacado,B2B,Sul,RS,P001,Notebook Pro 14,Informática,Representante,Bruno Lima,Cartão Crédito,1,4264.65,0.0,4264.65,0.0,4264.65,3345.33,919.32,Concluída,4,
V00098,2025-09-11,C001,Alfa Distribuidora,B2B,Sudeste,SP,P001,Notebook Pro 14,Informática,E-commerce,Ana Souza,,6,4534.97,0.0,27209.82,0.0,27209.82,17398.92,9810.9,Concluída,10,5.0
V00099,2026-04-30,C004,Delta Store,B2B,Sul,PR,P003,Teclado Mecânico,Acessórios,Loja Física,Fernanda Rocha,Pix,3,307.71,0.08,923.13,73.85,849.28,414.84,434.44,Concluída,4,4.0
V00100,2026-01-13,C008,Prime Atacado,B2B,Sul,RS,P005,Headset Gamer,Acessórios,E-commerce,Fernanda Rocha,Cartão Crédito,2,222.06,0.05,444.12,22.21,421.91,204.12,217.79,Concluída,3,4.0
V00101,2025-04-21,C003,Casa Norte,B2C,Norte,AM,P005,Headset Gamer,Acessórios,Loja Física,Carla Mendes,Transferência,3,218.74,0.0,656.22,0.0,656.22,297.42,358.8,Concluída,15,4.0
V00102,2025-03-19,C007,Loja Avenida,B2C,Centro-Oeste,GO,P004,Monitor 24,Informática,E-commerce,Ana Souza,Boleto,5,850.86,0.05,4254.3,212.72,4041.58,3223.35,818.23,Concluída,4,4.0
V00103,2025-02-12,C010,Tech Mais,B2C,Sudeste,SP,P002,Mouse Wireless,Acessórios,Representante,Fernanda Rocha,Transferência,2,104.93,0.08,209.86,16.79,193.07,83.12,109.95,Concluída,7,
V00104,2026-06-03,C006,Mercado Central,B2B,Nordeste,BA,P002,Mouse Wireless,Acessórios,Representante,Ana Souza,Transferência,1,86.89,0.05,86.89,4.34,82.55,38.89,43.66,Cancelada,3,5.0
V00105,2026-03-20,C008,Prime Atacado,B2B,Sul,RS,P002,Mouse Wireless,Acessórios,Representante,Diego Alves,Pix,1,88.92,0.0,88.92,0.0,88.92,40.53,48.39,Concluída,5,4.0
V00106,2026-06-19,C007,Loja Avenida,B2C,Centro-Oeste,GO,P003,Teclado Mecânico,Acessórios,Representante,Fernanda Rocha,Transferência,6,315.63,0.08,1893.78,151.5,1742.28,869.16,873.12,Concluída,4,4.0
V00107,2025-10-02,C008,Prime Atacado,B2B,Sul,RS,P007,Mesa Office,Móveis,Representante,Bruno Lima,Cartão Crédito,4,788.27,0.0,3153.08,0.0,3153.08,1860.92,1292.16,Concluída,5,
V00108,2025-09-07,C005,E-commerce Livre,B2C,Sudeste,RJ,P008,Webcam Full HD,Acessórios,Marketplace,Fernanda Rocha,Transferência,3,194.4,0.1,583.2,58.32,524.88,278.91,245.97,Concluída,3,5.0
V00109,2026-05-22,C006,Mercado Central,B2B,Nordeste,BA,P001,Notebook Pro 14,Informática,Representante,Bruno Lima,Transferência,3,4272.92,0.1,12818.76,1281.88,11536.88,9716.82,1820.06,Concluída,4,4.0
V00110,2025-09-22,C004,Delta Store,B2B,Sul,PR,P006,Cadeira Ergonômica,Móveis,Representante,Carla Mendes,Boleto,4,1224.96,0.03,4899.84,147.0,4752.84,3679.2,1073.64,Devolvida,4,5.0
V00111,2026-06-14,C009,Shopping Mix,B2C,Nordeste,PE,P001,Notebook Pro 14,Informática,E-commerce,Ana Souza,Pix,1,4562.12,0.0,4562.12,0.0,4562.12,3024.11,1538.01,Cancelada,3,3.0
V00112,2025-09-04,C007,Loja Avenida,B2C,Centro-Oeste,GO,P008,Webcam Full HD,Acessórios,Marketplace,Diego Alves,Transferência,4,222.27,0.05,889.08,44.45,844.63,376.16,468.47,Concluída,3,4.0
V00113,2025-10-29,C001,Alfa Distribuidora,B2B,Sudeste,SP,P002,Mouse Wireless,Acessórios,E-commerce,Diego Alves,Pix,1,104.49,0.03,104.49,3.13,101.36,37.7,63.66,Concluída,10,3.0
V00114,2026-01-13,C005,E-commerce Livre,B2C,Sudeste,RJ,P010,Carregador USB-C,Telefonia,Marketplace,Fernanda Rocha,Boleto,3,111.24,0.05,333.72,16.69,317.03,116.34,200.69,Devolvida,10,5.0
V00115,2025-12-05,C007,Loja Avenida,B2C,Centro-Oeste,GO,P009,Smartphone X,Telefonia,Representante,Diego Alves,Boleto,4,3088.26,0.05,12353.04,617.65,11735.39,7503.84,4231.55,Concluída,5,4.0
V00116,2025-08-25,C005,E-commerce Livre,B2C,Sudeste,RJ,P005,Headset Gamer,Acessórios,Loja Física,Bruno Lima,Boleto,4,265.33,0.1,1061.32,106.13,955.19,420.48,534.71,Concluída,15,5.0
V00117,2025-07-09,C002,Beta Varejo,B2B,Sudeste,MG,P009,Smartphone X,Telefonia,E-commerce,Bruno Lima,Transferência,1,3087.24,0.08,3087.24,246.98,2840.26,2006.51,833.75,Concluída,4,2.0
V00118,2026-06-22,C005,E-commerce Livre,B2C,Sudeste,RJ,P010,Carregador USB-C,Telefonia,Representante,Ana Souza,Pix,2,118.43,0.0,236.86,0.0,236.86,82.32,154.54,Concluída,5,
V00119,2026-01-05,C005,E-commerce Livre,B2C,Sudeste,RJ,P004,Monitor 24,Informática,E-commerce,Carla Mendes,Cartão Crédito,2,868.93,0.05,1737.86,86.89,1650.97,1221.7,429.27,Concluída,4,3.0
V00120,2025-10-08,C009,Shopping Mix,B2C,Nordeste,PE,P003,Teclado Mecânico,Acessórios,Loja Física,Ana Souza,Boleto,1,323.09,0.0,323.09,0.0,323.09,157.28,165.81,Concluída,5,5.0
